id,category
NEWS_00119,4
NEWS_00120,3
NEWS_00121,2
NEWS_00122,2
NEWS_00123,4
NEWS_00124,1
NEWS_00125,0
NEWS_00126,0
NEWS_00127,2
NEWS_00128,4
NEWS_00129,4
NEWS_00130,1
NEWS_00131,0
NEWS_00132,4
NEWS_00133,3
NEWS_00134,2
NEWS_00135,0
NEWS_00136,4
NEWS_00137,3
NEWS_00138,5
NEWS_00139,2
NEWS_00140,1
NEWS_00141,3
NEWS_00142,0
NEWS_00143,4
NEWS_00144,4
NEWS_00145,0
NEWS_00146,3
NEWS_00147,0
NEWS_00148,2
NEWS_00149,4
NEWS_00150,3
NEWS_00151,5
NEWS_00152,3
NEWS_00153,0
NEWS_00154,2
NEWS_00155,4
NEWS_00156,3
NEWS_00157,4
NEWS_00158,0
NEWS_00159,0
NEWS_00160,4
NEWS_00161,4
NEWS_00162,4
NEWS_00163,4
NEWS_00164,2
NEWS_00165,2
NEWS_00166,3
NEWS_00167,0
NEWS_00168,3
NEWS_00169,3
NEWS_00170,4
NEWS_00171,0
NEWS_00172,0
NEWS_00173,0
NEWS_00174,3
NEWS_00175,2
NEWS_00176,4
NEWS_00177,4
NEWS_00178,4
NEWS_00179,2
NEWS_00180,2
NEWS_00181,0
NEWS_00182,3
NEWS_00183,1
NEWS_00184,2
NEWS_00185,0
NEWS_00186,0
NEWS_00187,3
NEWS_00188,3
NEWS_00189,2
NEWS_00190,1
NEWS_00191,4
NEWS_00192,2
NEWS_00193,4
NEWS_00194,0
NEWS_00195,5
NEWS_00196,1
NEWS_00197,0
NEWS_00198,4
NEWS_00199,0
NEWS_00200,2
NEWS_00201,3
NEWS_00202,3
NEWS_00203,3
NEWS_00204,4
NEWS_00205,2
NEWS_00206,3
NEWS_00207,2
NEWS_00208,5
NEWS_00209,2
NEWS_00210,4
NEWS_00211,2
NEWS_00212,3
NEWS_00213,1
NEWS_00214,3
NEWS_00215,4
NEWS_00216,2
NEWS_00217,4
NEWS_00218,0
NEWS_00219,5
NEWS_00220,2
NEWS_00221,4
NEWS_00222,0
NEWS_00223,3
NEWS_00224,0
NEWS_00225,2
NEWS_00226,2
NEWS_00227,3
NEWS_00228,0
NEWS_00229,3
NEWS_00230,0
NEWS_00231,0
NEWS_00232,4
NEWS_00233,2
NEWS_00234,1
NEWS_00235,2
NEWS_00236,2
NEWS_00237,4
NEWS_00238,3
NEWS_00239,3
NEWS_00240,2
NEWS_00241,3
NEWS_00242,2
NEWS_00243,2
NEWS_00244,1
NEWS_00245,4
NEWS_00246,3
NEWS_00247,3
NEWS_00248,2
NEWS_00249,4
NEWS_00250,3
NEWS_00251,3
NEWS_00252,4
NEWS_00253,4
NEWS_00254,4
NEWS_00255,2
NEWS_00256,3
NEWS_00257,3
NEWS_00258,4
NEWS_00259,3
NEWS_00260,2
NEWS_00261,2
NEWS_00262,5
NEWS_00263,2
NEWS_00264,3
NEWS_00265,1
NEWS_00266,2
NEWS_00267,2
NEWS_00268,3
NEWS_00269,0
NEWS_00270,2
NEWS_00271,3
NEWS_00272,2
NEWS_00273,5
NEWS_00274,0
NEWS_00275,5
NEWS_00276,4
NEWS_00277,4
NEWS_00278,2
NEWS_00279,4
NEWS_00280,2
NEWS_00281,2
NEWS_00282,5
NEWS_00283,0
NEWS_00284,1
NEWS_00285,4
NEWS_00286,0
NEWS_00287,2
NEWS_00288,0
NEWS_00289,0
NEWS_00290,1
NEWS_00291,2
NEWS_00292,4
NEWS_00293,0
NEWS_00294,3
NEWS_00295,2
NEWS_00296,4
NEWS_00297,3
NEWS_00298,3
NEWS_00299,2
NEWS_00300,3
NEWS_00301,4
NEWS_00302,2
NEWS_00303,0
NEWS_00304,3
NEWS_00305,4
NEWS_00306,0
NEWS_00307,4
NEWS_00308,4
NEWS_00309,0
NEWS_00310,0
NEWS_00311,0
NEWS_00312,3
NEWS_00313,0
NEWS_00314,4
NEWS_00315,4
NEWS_00316,2
NEWS_00317,2
NEWS_00318,3
NEWS_00319,4
NEWS_00320,1
NEWS_00321,4
NEWS_00322,1
NEWS_00323,3
NEWS_00324,1
NEWS_00325,3
NEWS_00326,5
NEWS_00327,0
NEWS_00328,4
NEWS_00329,4
NEWS_00330,0
NEWS_00331,0
NEWS_00332,1
NEWS_00333,4
NEWS_00334,3
NEWS_00335,3
NEWS_00336,2
NEWS_00337,2
NEWS_00338,4
NEWS_00339,0
NEWS_00340,4
NEWS_00341,0
NEWS_00342,0
NEWS_00343,4
NEWS_00344,3
NEWS_00345,2
NEWS_00346,3
NEWS_00347,0
NEWS_00348,2
NEWS_00349,1
NEWS_00350,0
NEWS_00351,3
NEWS_00352,1
NEWS_00353,3
NEWS_00354,1
NEWS_00355,1
NEWS_00356,1
NEWS_00357,0
NEWS_00358,0
NEWS_00359,1
NEWS_00360,3
NEWS_00361,3
NEWS_00362,0
NEWS_00363,5
NEWS_00364,4
NEWS_00365,3
NEWS_00366,1
NEWS_00367,1
NEWS_00368,2
NEWS_00369,0
NEWS_00370,4
NEWS_00371,2
NEWS_00372,0
NEWS_00373,0
NEWS_00374,4
NEWS_00375,2
NEWS_00376,1
NEWS_00377,4
NEWS_00378,1
NEWS_00379,4
NEWS_00380,0
NEWS_00381,2
NEWS_00382,3
NEWS_00383,3
NEWS_00384,3
NEWS_00385,0
NEWS_00386,2
NEWS_00387,5
NEWS_00388,1
NEWS_00389,4
NEWS_00390,2
NEWS_00391,0
NEWS_00392,4
NEWS_00393,3
NEWS_00394,3
NEWS_00395,4
NEWS_00396,3
NEWS_00397,3
NEWS_00398,3
NEWS_00399,4
NEWS_00400,4
NEWS_00401,0
NEWS_00402,3
NEWS_00403,3
NEWS_00404,0
NEWS_00405,3
NEWS_00406,0
NEWS_00407,1
NEWS_00408,3
NEWS_00409,0
NEWS_00410,2
NEWS_00411,2
NEWS_00412,3
NEWS_00413,3
NEWS_00414,3
NEWS_00415,0
NEWS_00416,0
NEWS_00417,2
NEWS_00418,4
NEWS_00419,3
NEWS_00420,4
NEWS_00421,1
NEWS_00422,1
NEWS_00423,4
NEWS_00424,1
NEWS_00425,4
NEWS_00426,0
NEWS_00427,4
NEWS_00428,2
NEWS_00429,4
NEWS_00430,0
NEWS_00431,5
NEWS_00432,4
NEWS_00433,3
NEWS_00434,3
NEWS_00435,0
NEWS_00436,4
NEWS_00437,2
NEWS_00438,0
NEWS_00439,3
NEWS_00440,0
NEWS_00441,1
NEWS_00442,1
NEWS_00443,4
NEWS_00444,4
NEWS_00445,0
NEWS_00446,5
NEWS_00447,5
NEWS_00448,2
NEWS_00449,2
NEWS_00450,1
NEWS_00451,0
NEWS_00452,2
NEWS_00453,0
NEWS_00454,4
NEWS_00455,2
NEWS_00456,0
NEWS_00457,0
NEWS_00458,0
NEWS_00459,0
NEWS_00460,3
NEWS_00461,0
NEWS_00462,0
NEWS_00463,0
NEWS_00464,2
NEWS_00465,3
NEWS_00466,1
NEWS_00467,2
NEWS_00468,0
NEWS_00469,0
NEWS_00470,4
NEWS_00471,2
NEWS_00472,3
NEWS_00473,0
NEWS_00474,2
NEWS_00475,3
NEWS_00476,4
NEWS_00477,0
NEWS_00478,3
NEWS_00479,2
NEWS_00480,1
NEWS_00481,4
NEWS_00482,2
NEWS_00483,2
NEWS_00484,3
NEWS_00485,2
NEWS_00486,3
NEWS_00487,3
NEWS_00488,4
NEWS_00489,2
NEWS_00490,3
NEWS_00491,1
NEWS_00492,0
NEWS_00493,5
NEWS_00494,3
NEWS_00495,4
NEWS_00496,2
NEWS_00497,3
NEWS_00498,0
NEWS_00499,5
NEWS_00500,0
NEWS_00501,3
NEWS_00502,0
NEWS_00503,2
NEWS_00504,3
NEWS_00505,0
NEWS_00506,3
NEWS_00507,3
NEWS_00508,2
NEWS_00509,3
NEWS_00510,4
NEWS_00511,2
NEWS_00512,1
NEWS_00513,0
NEWS_00514,3
NEWS_00515,4
NEWS_00516,3
NEWS_00517,1
NEWS_00518,5
NEWS_00519,2
NEWS_00520,0
NEWS_00521,3
NEWS_00522,3
NEWS_00523,2
NEWS_00524,0
NEWS_00525,3
NEWS_00526,3
NEWS_00527,3
NEWS_00528,1
NEWS_00529,4
NEWS_00530,0
NEWS_00531,1
NEWS_00532,2
NEWS_00533,2
NEWS_00534,0
NEWS_00535,4
NEWS_00536,2
NEWS_00537,4
NEWS_00538,5
NEWS_00539,0
NEWS_00540,0
NEWS_00541,3
NEWS_00542,4
NEWS_00543,4
NEWS_00544,4
NEWS_00545,4
NEWS_00546,1
NEWS_00547,5
NEWS_00548,4
NEWS_00549,4
NEWS_00550,0
NEWS_00551,4
NEWS_00552,1
NEWS_00553,3
NEWS_00554,4
NEWS_00555,2
NEWS_00556,0
NEWS_00557,2
NEWS_00558,3
NEWS_00559,4
NEWS_00560,0
NEWS_00561,3
NEWS_00562,5
NEWS_00563,3
NEWS_00564,0
NEWS_00565,3
NEWS_00566,3
NEWS_00567,0
NEWS_00568,3
NEWS_00569,3
NEWS_00570,2
NEWS_00571,0
NEWS_00572,0
NEWS_00573,4
NEWS_00574,2
NEWS_00575,2
NEWS_00576,2
NEWS_00577,2
NEWS_00578,0
NEWS_00579,4
NEWS_00580,0
NEWS_00581,0
NEWS_00582,0
NEWS_00583,0
NEWS_00584,3
NEWS_00585,0
NEWS_00586,2
NEWS_00587,0
NEWS_00588,2
NEWS_00589,4
NEWS_00590,2
NEWS_00591,0
NEWS_00592,4
NEWS_00593,4
NEWS_00594,0
NEWS_00595,2
NEWS_00596,0
NEWS_00597,2
NEWS_00598,3
NEWS_00599,0
NEWS_00600,0
NEWS_00601,4
NEWS_00602,5
NEWS_00603,4
NEWS_00604,2
NEWS_00605,2
NEWS_00606,2
NEWS_00607,0
NEWS_00608,4
NEWS_00609,4
NEWS_00610,4
NEWS_00611,3
NEWS_00612,2
NEWS_00613,4
NEWS_00614,0
NEWS_00615,2
NEWS_00616,2
NEWS_00617,4
NEWS_00618,4
NEWS_00619,0
NEWS_00620,1
NEWS_00621,0
NEWS_00622,4
NEWS_00623,3
NEWS_00624,4
NEWS_00625,1
NEWS_00626,0
NEWS_00627,1
NEWS_00628,2
NEWS_00629,3
NEWS_00630,3
NEWS_00631,0
NEWS_00632,1
NEWS_00633,2
NEWS_00634,2
NEWS_00635,3
NEWS_00636,1
NEWS_00637,4
NEWS_00638,0
NEWS_00639,4
NEWS_00640,0
NEWS_00641,2
NEWS_00642,3
NEWS_00643,2
NEWS_00644,0
NEWS_00645,4
NEWS_00646,2
NEWS_00647,2
NEWS_00648,4
NEWS_00649,3
NEWS_00650,0
NEWS_00651,0
NEWS_00652,3
NEWS_00653,5
NEWS_00654,2
NEWS_00655,3
NEWS_00656,0
NEWS_00657,1
NEWS_00658,5
NEWS_00659,4
NEWS_00660,2
NEWS_00661,0
NEWS_00662,1
NEWS_00663,4
NEWS_00664,0
NEWS_00665,2
NEWS_00666,2
NEWS_00667,5
NEWS_00668,1
NEWS_00669,4
NEWS_00670,2
NEWS_00671,1
NEWS_00672,3
NEWS_00673,4
NEWS_00674,0
NEWS_00675,3
NEWS_00676,2
NEWS_00677,0
NEWS_00678,4
NEWS_00679,3
NEWS_00680,1
NEWS_00681,4
NEWS_00682,0
NEWS_00683,4
NEWS_00684,2
NEWS_00685,0
NEWS_00686,3
NEWS_00687,2
NEWS_00688,1
NEWS_00689,1
NEWS_00690,2
NEWS_00691,0
NEWS_00692,3
NEWS_00693,3
NEWS_00694,0
NEWS_00695,2
NEWS_00696,0
NEWS_00697,2
NEWS_00698,4
NEWS_00699,0
NEWS_00700,1
NEWS_00701,0
NEWS_00702,2
NEWS_00703,5
NEWS_00704,0
NEWS_00705,1
NEWS_00706,2
NEWS_00707,2
NEWS_00708,1
NEWS_00709,4
NEWS_00710,5
NEWS_00711,5
NEWS_00712,5
NEWS_00713,2
NEWS_00714,5
NEWS_00715,0
NEWS_00716,0
NEWS_00717,1
NEWS_00718,2
NEWS_00719,4
NEWS_00720,1
NEWS_00721,0
NEWS_00722,4
NEWS_00723,0
NEWS_00724,0
NEWS_00725,4
NEWS_00726,4
NEWS_00727,3
NEWS_00728,4
NEWS_00729,1
NEWS_00730,1
NEWS_00731,4
NEWS_00732,5
NEWS_00733,3
NEWS_00734,0
NEWS_00735,0
NEWS_00736,2
NEWS_00737,2
NEWS_00738,3
NEWS_00739,4
NEWS_00740,3
NEWS_00741,0
NEWS_00742,2
NEWS_00743,1
NEWS_00744,4
NEWS_00745,0
NEWS_00746,3
NEWS_00747,4
NEWS_00748,3
NEWS_00749,0
NEWS_00750,1
NEWS_00751,1
NEWS_00752,2
NEWS_00753,3
NEWS_00754,0
NEWS_00755,2
NEWS_00756,0
NEWS_00757,0
NEWS_00758,0
NEWS_00759,2
NEWS_00760,2
NEWS_00761,4
NEWS_00762,1
NEWS_00763,4
NEWS_00764,3
NEWS_00765,0
NEWS_00766,2
NEWS_00767,2
NEWS_00768,2
NEWS_00769,2
NEWS_00770,4
NEWS_00771,2
NEWS_00772,4
NEWS_00773,0
NEWS_00774,4
NEWS_00775,0
NEWS_00776,4
NEWS_00777,0
NEWS_00778,0
NEWS_00779,4
NEWS_00780,4
NEWS_00781,2
NEWS_00782,3
NEWS_00783,3
NEWS_00784,0
NEWS_00785,2
NEWS_00786,0
NEWS_00787,3
NEWS_00788,0
NEWS_00789,3
NEWS_00790,1
NEWS_00791,0
NEWS_00792,4
NEWS_00793,0
NEWS_00794,1
NEWS_00795,1
NEWS_00796,0
NEWS_00797,4
NEWS_00798,2
NEWS_00799,0
NEWS_00800,3
NEWS_00801,2
NEWS_00802,4
NEWS_00803,1
NEWS_00804,3
NEWS_00805,3
NEWS_00806,2
NEWS_00807,0
NEWS_00808,3
NEWS_00809,3
NEWS_00810,2
NEWS_00811,5
NEWS_00812,4
NEWS_00813,1
NEWS_00814,3
NEWS_00815,3
NEWS_00816,4
NEWS_00817,0
NEWS_00818,5
NEWS_00819,0
NEWS_00820,4
NEWS_00821,0
NEWS_00822,2
NEWS_00823,3
NEWS_00824,2
NEWS_00825,0
NEWS_00826,3
NEWS_00827,4
NEWS_00828,3
NEWS_00829,0
NEWS_00830,4
NEWS_00831,4
NEWS_00832,2
NEWS_00833,4
NEWS_00834,0
NEWS_00835,4
NEWS_00836,0
NEWS_00837,5
NEWS_00838,2
NEWS_00839,0
NEWS_00840,3
NEWS_00841,0
NEWS_00842,3
NEWS_00843,1
NEWS_00844,2
NEWS_00845,1
NEWS_00846,5
NEWS_00847,0
NEWS_00848,4
NEWS_00849,3
NEWS_00850,4
NEWS_00851,2
NEWS_00852,1
NEWS_00853,0
NEWS_00854,4
NEWS_00855,0
NEWS_00856,2
NEWS_00857,0
NEWS_00858,0
NEWS_00859,1
NEWS_00860,4
NEWS_00861,3
NEWS_00862,4
NEWS_00863,1
NEWS_00864,1
NEWS_00865,3
NEWS_00866,4
NEWS_00867,5
NEWS_00868,4
NEWS_00869,2
NEWS_00870,4
NEWS_00871,3
NEWS_00872,3
NEWS_00873,4
NEWS_00874,1
NEWS_00875,5
NEWS_00876,3
NEWS_00877,4
NEWS_00878,0
NEWS_00879,0
NEWS_00880,0
NEWS_00881,4
NEWS_00882,5
NEWS_00883,3
NEWS_00884,4
NEWS_00885,4
NEWS_00886,3
NEWS_00887,2
NEWS_00888,4
NEWS_00889,3
NEWS_00890,4
NEWS_00891,4
NEWS_00892,3
NEWS_00893,0
NEWS_00894,4
NEWS_00895,1
NEWS_00896,2
NEWS_00897,3
NEWS_00898,4
NEWS_00899,1
NEWS_00900,4
NEWS_00901,2
NEWS_00902,3
NEWS_00903,4
NEWS_00904,4
NEWS_00905,1
NEWS_00906,3
NEWS_00907,2
NEWS_00908,4
NEWS_00909,4
NEWS_00910,3
NEWS_00911,3
NEWS_00912,4
NEWS_00913,3
NEWS_00914,1
NEWS_00915,1
NEWS_00916,3
NEWS_00917,0
NEWS_00918,3
NEWS_00919,4
NEWS_00920,2
NEWS_00921,4
NEWS_00922,3
NEWS_00923,2
NEWS_00924,0
NEWS_00925,3
NEWS_00926,3
NEWS_00927,2
NEWS_00928,1
NEWS_00929,2
NEWS_00930,4
NEWS_00931,3
NEWS_00932,4
NEWS_00933,4
NEWS_00934,4
NEWS_00935,4
NEWS_00936,1
NEWS_00937,3
NEWS_00938,1
NEWS_00939,2
NEWS_00940,3
NEWS_00941,3
NEWS_00942,2
NEWS_00943,0
NEWS_00944,1
NEWS_00945,4
NEWS_00946,5
NEWS_00947,0
NEWS_00948,3
NEWS_00949,4
NEWS_00950,4
NEWS_00951,3
NEWS_00952,3
NEWS_00953,0
NEWS_00954,3
NEWS_00955,0
NEWS_00956,4
NEWS_00957,4
NEWS_00958,4
NEWS_00959,0
NEWS_00960,4
NEWS_00961,3
NEWS_00962,2
NEWS_00963,5
NEWS_00964,2
NEWS_00965,0
NEWS_00966,4
NEWS_00967,1
NEWS_00968,0
NEWS_00969,1
NEWS_00970,1
NEWS_00971,1
NEWS_00972,3
NEWS_00973,0
NEWS_00974,0
NEWS_00975,3
NEWS_00976,3
NEWS_00977,4
NEWS_00978,4
NEWS_00979,3
NEWS_00980,1
NEWS_00981,4
NEWS_00982,2
NEWS_00983,5
NEWS_00984,1
NEWS_00985,3
NEWS_00986,1
NEWS_00987,4
NEWS_00988,1
NEWS_00989,4
NEWS_00990,3
NEWS_00991,0
NEWS_00992,5
NEWS_00993,3
NEWS_00994,4
NEWS_00995,3
NEWS_00996,2
NEWS_00997,2
NEWS_00998,4
NEWS_00999,0
NEWS_01000,4
NEWS_01001,2
NEWS_01002,3
NEWS_01003,2
NEWS_01004,5
NEWS_01005,3
NEWS_01006,4
NEWS_01007,0
NEWS_01008,3
NEWS_01009,3
NEWS_01010,2
NEWS_01011,5
NEWS_01012,4
NEWS_01013,0
NEWS_01014,1
NEWS_01015,2
NEWS_01016,1
NEWS_01017,0
NEWS_01018,5
NEWS_01019,3
NEWS_01020,2
NEWS_01021,4
NEWS_01022,4
NEWS_01023,4
NEWS_01024,2
NEWS_01025,0
NEWS_01026,0
NEWS_01027,2
NEWS_01028,3
NEWS_01029,2
NEWS_01030,4
NEWS_01031,2
NEWS_01032,3
NEWS_01033,4
NEWS_01034,4
NEWS_01035,5
NEWS_01036,4
NEWS_01037,0
NEWS_01038,0
NEWS_01039,4
NEWS_01040,2
NEWS_01041,0
NEWS_01042,4
NEWS_01043,2
NEWS_01044,4
NEWS_01045,3
NEWS_01046,3
NEWS_01047,0
NEWS_01048,3
NEWS_01049,4
NEWS_01050,2
NEWS_01051,0
NEWS_01052,3
NEWS_01053,3
NEWS_01054,4
NEWS_01055,0
NEWS_01056,4
NEWS_01057,3
NEWS_01058,4
NEWS_01059,2
NEWS_01060,2
NEWS_01061,2
NEWS_01062,4
NEWS_01063,2
NEWS_01064,4
NEWS_01065,2
NEWS_01066,3
NEWS_01067,2
NEWS_01068,0
NEWS_01069,3
NEWS_01070,0
NEWS_01071,0
NEWS_01072,1
NEWS_01073,3
NEWS_01074,2
NEWS_01075,1
NEWS_01076,2
NEWS_01077,2
NEWS_01078,0
NEWS_01079,3
NEWS_01080,4
NEWS_01081,0
NEWS_01082,0
NEWS_01083,2
NEWS_01084,4
NEWS_01085,2
NEWS_01086,2
NEWS_01087,1
NEWS_01088,1
NEWS_01089,0
NEWS_01090,0
NEWS_01091,0
NEWS_01092,4
NEWS_01093,4
NEWS_01094,0
NEWS_01095,1
NEWS_01096,0
NEWS_01097,0
NEWS_01098,0
NEWS_01099,1
NEWS_01100,3
NEWS_01101,3
NEWS_01102,0
NEWS_01103,4
NEWS_01104,0
NEWS_01105,3
NEWS_01106,3
NEWS_01107,3
NEWS_01108,2
NEWS_01109,0
NEWS_01110,1
NEWS_01111,4
NEWS_01112,2
NEWS_01113,5
NEWS_01114,0
NEWS_01115,0
NEWS_01116,3
NEWS_01117,4
NEWS_01118,0
NEWS_01119,3
NEWS_01120,1
NEWS_01121,1
NEWS_01122,2
NEWS_01123,3
NEWS_01124,1
NEWS_01125,2
NEWS_01126,0
NEWS_01127,4
NEWS_01128,0
NEWS_01129,4
NEWS_01130,4
NEWS_01131,2
NEWS_01132,4
NEWS_01133,4
NEWS_01134,0
NEWS_01135,5
NEWS_01136,1
NEWS_01137,5
NEWS_01138,2
NEWS_01139,2
NEWS_01140,5
NEWS_01141,4
NEWS_01142,4
NEWS_01143,2
NEWS_01144,3
NEWS_01145,2
NEWS_01146,4
NEWS_01147,0
NEWS_01148,0
NEWS_01149,3
NEWS_01150,4
NEWS_01151,0
NEWS_01152,0
NEWS_01153,0
NEWS_01154,4
NEWS_01155,4
NEWS_01156,1
NEWS_01157,0
NEWS_01158,4
NEWS_01159,2
NEWS_01160,0
NEWS_01161,1
NEWS_01162,4
NEWS_01163,0
NEWS_01164,4
NEWS_01165,3
NEWS_01166,3
NEWS_01167,0
NEWS_01168,0
NEWS_01169,0
NEWS_01170,4
NEWS_01171,2
NEWS_01172,0
NEWS_01173,3
NEWS_01174,4
NEWS_01175,0
NEWS_01176,2
NEWS_01177,0
NEWS_01178,4
NEWS_01179,1
NEWS_01180,2
NEWS_01181,1
NEWS_01182,2
NEWS_01183,4
NEWS_01184,2
NEWS_01185,3
NEWS_01186,4
NEWS_01187,2
NEWS_01188,0
NEWS_01189,4
NEWS_01190,3
NEWS_01191,3
NEWS_01192,0
NEWS_01193,4
NEWS_01194,0
NEWS_01195,3
NEWS_01196,3
NEWS_01197,3
NEWS_01198,1
NEWS_01199,3
NEWS_01200,5
NEWS_01201,4
NEWS_01202,2
NEWS_01203,4
NEWS_01204,3
NEWS_01205,2
NEWS_01206,4
NEWS_01207,0
NEWS_01208,4
NEWS_01209,0
NEWS_01210,0
NEWS_01211,2
NEWS_01212,4
NEWS_01213,2
NEWS_01214,1
NEWS_01215,3
NEWS_01216,2
NEWS_01217,0
NEWS_01218,3
NEWS_01219,0
NEWS_01220,0
NEWS_01221,4
NEWS_01222,2
NEWS_01223,3
NEWS_01224,2
NEWS_01225,0
NEWS_01226,4
NEWS_01227,0
NEWS_01228,1
NEWS_01229,4
NEWS_01230,2
NEWS_01231,2
NEWS_01232,4
NEWS_01233,2
NEWS_01234,4
NEWS_01235,3
NEWS_01236,4
NEWS_01237,5
NEWS_01238,2
NEWS_01239,0
NEWS_01240,3
NEWS_01241,4
NEWS_01242,4
NEWS_01243,0
NEWS_01244,5
NEWS_01245,4
NEWS_01246,5
NEWS_01247,5
NEWS_01248,0
NEWS_01249,2
NEWS_01250,4
NEWS_01251,4
NEWS_01252,3
NEWS_01253,0
NEWS_01254,1
NEWS_01255,0
NEWS_01256,0
NEWS_01257,2
NEWS_01258,0
NEWS_01259,3
NEWS_01260,1
NEWS_01261,4
NEWS_01262,3
NEWS_01263,4
NEWS_01264,2
NEWS_01265,4
NEWS_01266,2
NEWS_01267,0
NEWS_01268,4
NEWS_01269,0
NEWS_01270,0
NEWS_01271,2
NEWS_01272,3
NEWS_01273,0
NEWS_01274,3
NEWS_01275,3
NEWS_01276,3
NEWS_01277,4
NEWS_01278,3
NEWS_01279,3
NEWS_01280,0
NEWS_01281,5
NEWS_01282,0
NEWS_01283,3
NEWS_01284,0
NEWS_01285,2
NEWS_01286,4
NEWS_01287,0
NEWS_01288,0
NEWS_01289,0
NEWS_01290,0
NEWS_01291,4
NEWS_01292,0
NEWS_01293,1
NEWS_01294,3
NEWS_01295,4
NEWS_01296,1
NEWS_01297,2
NEWS_01298,1
NEWS_01299,4
NEWS_01300,0
NEWS_01301,0
NEWS_01302,3
NEWS_01303,2
NEWS_01304,4
NEWS_01305,1
NEWS_01306,4
NEWS_01307,2
NEWS_01308,5
NEWS_01309,3
NEWS_01310,1
NEWS_01311,1
NEWS_01312,4
NEWS_01313,3
NEWS_01314,5
NEWS_01315,4
NEWS_01316,2
NEWS_01317,0
NEWS_01318,4
NEWS_01319,4
NEWS_01320,3
NEWS_01321,4
NEWS_01322,4
NEWS_01323,0
NEWS_01324,2
NEWS_01325,2
NEWS_01326,2
NEWS_01327,1
NEWS_01328,3
NEWS_01329,2
NEWS_01330,0
NEWS_01331,4
NEWS_01332,2
NEWS_01333,4
NEWS_01334,3
NEWS_01335,3
NEWS_01336,4
NEWS_01337,1
NEWS_01338,0
NEWS_01339,0
NEWS_01340,4
NEWS_01341,3
NEWS_01342,0
NEWS_01343,0
NEWS_01344,4
NEWS_01345,1
NEWS_01346,3
NEWS_01347,4
NEWS_01348,5
NEWS_01349,4
NEWS_01350,0
NEWS_01351,2
NEWS_01352,5
NEWS_01353,4
NEWS_01354,2
NEWS_01355,0
NEWS_01356,1
NEWS_01357,0
NEWS_01358,3
NEWS_01359,2
NEWS_01360,0
NEWS_01361,0
NEWS_01362,3
NEWS_01363,1
NEWS_01364,4
NEWS_01365,0
NEWS_01366,2
NEWS_01367,1
NEWS_01368,4
NEWS_01369,2
NEWS_01370,0
NEWS_01371,3
NEWS_01372,4
NEWS_01373,0
NEWS_01374,0
NEWS_01375,5
NEWS_01376,5
NEWS_01377,5
NEWS_01378,0
NEWS_01379,0
NEWS_01380,1
NEWS_01381,2
NEWS_01382,0
NEWS_01383,0
NEWS_01384,2
NEWS_01385,5
NEWS_01386,1
NEWS_01387,4
NEWS_01388,0
NEWS_01389,4
NEWS_01390,0
NEWS_01391,0
NEWS_01392,2
NEWS_01393,5
NEWS_01394,0
NEWS_01395,0
NEWS_01396,0
NEWS_01397,2
NEWS_01398,0
